Uniprot	Genename
A0A1S3KZY7	LOC106563280
B5XC31	GFRP
A0A1S3KIQ8	sec16b
A0A060W8M7	GSONMT00069247001
A0A060YAA2	GSONMT00006829001
A0A1S3Q9B1	LOC106590226
A0A060YIN8	GSONMT00004308001
A0A060WYW0	GSONMT00007612001
A0A1S3S7S0	senp6
A0A1S3QDN9	LOC106591425
A0A060Y662	LOC110536756
A0A1S3PZB2	LOC106588484
A0A060VNQ1	LOC110527999
B5X1F5	GBB1
C0HAQ0	MCCC2
A0A060ZUI5	GSONMT00053991001
A0A1S3Q9B0	LOC106590025
A0A1S3P666	LOC106583443
B9EPP7	EF1D
B5X313	PAHX
A0A1S3MN71	LOC106573831
B5X4N1	RIR1
A0A060VX13	GSONMT00072767001
A0A1S3M0L0	LOC106569628
A0A060YD94	GSONMT00050480001
A0A1S3KS25	LOC106561706
A0A060XKD3	GSONMT00003786001
A0A060YQ62	GSONMT00017554001
B5X193	PA2G4
A0A1S3PAX2	LOC106584207
A0A1S3T1Q4	LOC106613113
A0A1S3SJ12	LOC106609839
A0A060YU60	GSONMT00057462001
A0A1S3RCD7	LOC106602087
A0A1S3RYQ5	rab13
A0A060YHQ9	GSONMT00044210001
A0A060WZ77	GSONMT00058508001
A0A060WPU1	GSONMT00075793001
A0A060YPK5	LOC110491927
A0A1S3LWK0	LOC106568915
A0A1S3LR00	tmprss2
A0A060X0J4	GSONMT00036132001
A0A060XVZ7	scarb2
B9EPQ0	LSM2
A0A1S3P6K1	LOC106583499
C0H8F1	RL7A
A0A060VU47	GSONMT00077563001
C0HA39	HNRL1
A0A060WSC2	GSONMT00011031001
A0A1S3QKG0	mcu
A0A1S3RQ15	LOC106604380
A0A060X8W4	GSONMT00027832001
A0A1S3QRL5	LOC106595495
A0A060WR63	LOC110525515
A0A060W790	GSONMT00068154001
A0A060WC75	GSONMT00067886001
A0A060WTR3	LOC110502412
A0A060YAE4	GSONMT00028693001
A0A1S3RZX5	LOC106606144
B5X610	RL31
A0A1S3RM63	pica
A0A1S3Q4D4	LOC106589392
A0A060YNU4	GSONMT00062692001
A0A060VMI1	LOC110497791
A0A060WUA5	LOC110531598
A0A060Y0D7	GSONMT00052071001
A0A060VVE0	GSONMT00078581001
A0A060Z1S0	GSONMT00057571001
A0A060YZ84	GSONMT00047190001
B5X1V7	HEM6
A0A1S3SBB1	LOC106608292
A0A060WB97	GSONMT00070677001
A0A060YTS7	GSONMT00028411001
A0A1S3PEZ2	LOC106585037
A0A060WGN8	GSONMT00075409001
A0A1S3SAT4	LOC106608185
B5X8G3	RL22L
B9EL79	TCP4
A0A1S3N9Z1	LOC106577961
A0A1S3QI49	LOC106592876
A0A060YAR2	GSONMT00047450001
A0A060Z4D1	GSONMT00017647001
C1BEW8	RS27
A0A1S3MD18	auh
A0A1S3KQC8	LOC106561448
A0A060XFR1	GSONMT00049093001
A0A060XKA1	GSONMT00062425001
C0H820	MDHC
A0A060WHX5	LOC110524004
A0A060W1F1	GSONMT00077640001
A0A060W7L7	LOC110486039
A0A1S3KKW8	psmd5
A0A1S3KJT6	LOC106560454
Q91470	HBB1
B5DGG8	rps12
A0A060WNZ4	LOC110533583
A0A1S3RZA3	LOC106606015
C1BGA3	RS16
A0A060YGT2	GSONMT00012655001
A0A1S3SX30	LOC106612348
A0A1S3Q7D7	LOC106589953
A0A060YK46	GSONMT00034841001
A0A060YJP1	GSONMT00028045001
A0A060XBL4	GSONMT00053171001
A0A1S3PWS6	vps13c
A0A060YB54	GSONMT00059369001
B5XE82	THOC4
A0A060VSN1	GSONMT00075126001
C1BEQ0	RS27
A0A060YZ11	GSONMT00036803001
A0A060WA19	LOC110491371
A0A1S3PYB9	srp68
C1BGH7	PFD1
C0HB83	PURB
A0A1S3KS11	LOC106561717
A0A1S3RCE4	LOC106601614
A0A060XP57	GSONMT00022322001
A0A1S3KTZ7	nadsyn1
A0A1S3KR22	LOC106561578
A0A060W6X2	GSONMT00064345001
A0A060Y3W5	GSONMT00059178001
A0A060XKG1	GSONMT00016241001
A0A1S3RU10	LOC106605059
A0A060WQY0	GSONMT00000260001
A0A060VZM1	GSONMT00074530001
A0A060XQR2	GSONMT00009096001
A0A1S3NZZ2	LOC106582392
A0A1S3KKM1	kat3
