Uniprot	Genename
A0A060Z6M5	GSONMT00041410001
A0A060YXI2	GSONMT00026141001
A0A060WA97	ahcy
A0A060YY63	GSONMT00020623001
A0A060VVM1	ciao1
A0A060W4D0	LOC110526261
A0A1S3RB35	LOC106601748
A0A1S3MFX7	LOC106572395
A0A060YH63	GSONMT00017277001
A0A1S3RNK8	abcb7
A0A060YTT3	GSONMT00058250001
A0A1S3N0Q6	LOC106576313
A0A060W602	GSONMT00067246001
C0HA94	IMA5
A0A1S3QJP9	LOC106592776
A0A1S3QSK4	LOC106596253
A0A060X4B3	GSONMT00017162001
A0A1S3SM18	LOC106610508
B5XAF8	BOLA1
A0A1S3P0U0	map3k13
C0HBJ1	SIRT2
A0A060WU49	GSONMT00034914001
A0A060W917	GSONMT00069475001
A0A1S3N8Q7	LOC106577901
A0A060YQ90	GSONMT00014606001
B9EPD5	CT011
A0A1S3L4W8	LOC106564313
A0A1S3LZ38	LOC106569359
A0A1S3T4B2	atpaf1
A0A060XEA1	GSONMT00012258001
A0A060WX77	GSONMT00061635001
B5X2H6	A9A1A
G9HXN8	fabp7
A0A060WBC6	GSONMT00070750001
A0A060XNA3	EIF3G
A0A1S3QH83	LOC106592336
A0A060XL80	GSONMT00038575001
A0A1S3NTT8	LOC106581338
B5RI21	LOC100194670
A0A060W698	TST
A0A060WGZ1	GSONMT00069876001
A0A060Y5C0	GSONMT00037121001
B5X921	MED11
A0A1S3LII0	LOC106566781
B5XCJ8	NDKA
B5X686	VPS29
A0A060VWG6	GSONMT00079639001
B5DGE8	tuba8l2
A0A060W910	GSONMT00064418001
C1BF29	BAF
A0A060WDN8	GSONMT00073184001
B5X2A8	SURF4
A0A1S3PBB5	LOC106584321
A0A060WCY9	LOC110494333
A0A1S3PJ15	LOC106585689
A0A1S3RQF8	LOC106604162
A0A060WI08	GSONMT00076006001
A0A1S3PI93	LOC106585558
A0A1S3RB86	LOC106601595
A0A060VP17	GSONMT00064277001
A0A060WAJ2	MTFP1
C0HAW1	HIBCH
A0A060Y142	GSONMT00041944001
A0A060YR98	GSONMT00005010001
A0A060WI54	fabp2
A0A1S3Q2M5	LOC106589075
A0A060YQU9	GSONMT00041092001
A0A060XW53	GSONMT00027481001
A0A060W7M8	nubpl
A0A060Y0E7	GSONMT00001821001
A0A1S3RZA9	LOC106606020
A0A1S3RSQ4	LOC100194717
A0A060Y985	GSONMT00019444001
A0A1S3NZ52	LOC106582274
A0A060XST9	GSONMT00043365001
A0A060XRH3	GSONMT00034874001
A0A1S3KR31	LOC106561579
A0A060Z8X8	GSONMT00012967001
A0A1S3SHF6	LOC100194705
A0A1S3NLX6	gltp
A0A060YGW3	GSONMT00045474001
A0A1S3L3T4	LOC100380706
A0A060WI57	GSONMT00075940001
A0A060X7H0	GSONMT00008615001
A0A060Y7T4	GSONMT00004742001
A0A1S3MNI2	pex11g
A0A1S3KQH2	LOC100196824
A0A060YKA0	GSONMT00030938001
B5X1Y1	VATH
A0A1S3NA12	LOC106578153
B5XCH2	NDUAC
A0A060YSH4	GSONMT00059022001
A0A1S3MPC3	tomm70a
A0A060W9Z8	GSONMT00070119001
A0A060WPN6	GSONMT00063299001
B9EL52	LSM6
A0A1S3T0P6	LOC106612961
A0A060Y410	GSONMT00014171001
A0A060YDB1	GSONMT00041970001
A0A060W3P0	GSONMT00079360001
B9ENL7	RAB5C
A0A1S3NBL2	LOC106578327
A0A1S3R9E7	LOC106601350
B5X3B0	RAC1
A0A1S3M3A3	LOC106570187
A0A060X0V6	nit1
C0HBL8	KPYK
A0A060WDS5	GSONMT00073235001
A0A1S3LET2	LOC106566142
A0A060X0F2	GSONMT00017778001
A0A060ZF96	GSONMT00054932001
A0A1S3NVE1	LOC106581679
A0A060VZR5	GSONMT00078001001
A0A1S3P170	hnmt
B5X2G6	IVD
A0A060YS27	acot13
A0A060X8X3	GSONMT00027840001
B5X4B2	ETFD
A0A1S3RYX1	LOC106605945
A0A060X0T1	GSONMT00008986001
A0A060Z076	GSONMT00028690001
B5X2T3	ALDH2
A0A060Y7U5	GSONMT00013114001
A0A1S3S0R8	LOC106606404
A0A1S3KKU1	sec16a
A0A060YWQ1	GSONMT00013276001
A0A060W1P5	GSONMT00082762001
A0A1S3L9M0	LOC106565197
A0A060Y4W9	GSONMT00017812001
A0A1S3M4R7	ntmt1
C0H7E4	PSB2
A0A1S3LR80	LOC106567969
A0A060YY83	GSONMT00034864001
A0A060YCG5	GSONMT00013079001
A0A1S3SLF9	LOC106610368
C0HBA2	P5CS
A0A1S3LDL4	LOC106565851
A0A060WB47	GSONMT00065844001
A0A1S3NDZ2	LOC106578933
A0A060YXZ7	GSONMT00023945001
B5X623	FABPH
A0A1S3NNK1	LOC106580358
O42161	actb
A0A1S3SL57	LOC106610306
A0A060W9R2	GSONMT00066262001
A0A1S3MMM4	plcg2
W5S0D5	PSMA8
A0A1S3Q493	asah2
A0A060ZZT4	GSONMT00029731001
A0A060XQJ3	GSONMT00019624001
A0A060W0K1	GSONMT00082057001
A0A060X8S3	GSONMT00048920001
A0A060XWP8	GSONMT00054453001
A0A1S3NGR5	LOC106579139
A0A060W375	GSONMT00065802001
C1BH75	NDUS5
A0A060YAN5	GSONMT00054626001
A0A1S3MI56	LOC106572795
C0H9G7	CND3
A0A060XHP1	GSONMT00047171001
A0A060XWQ6	GSONMT00061798001
A0A060WAA5	GSONMT00070117001
A0A1S3LBR3	ddrgk1
A0A1S3NGR7	LOC106579244
A0A1S3PPA3	cssa25h2orf76
A0A1S3M0W0	LOC106569631
A0A060WHV4	GSONMT00075778001
A0A1S3MUH0	cars2
B5X6M9	QCR6
A0A1S3M896	LOC100136579
A0A1S3N2C5	LOC106576751
A0A060Y2H6	GSONMT00064010001
A0A1S3P1G5	eif6
A0A1S3PDI0	slc27a2
B9ELC8	BUP1
C0H9I5	ACTN1
A0A060WCS8	LOC110507556
A0A1S3N340	LOC106576824
A0A1S3T214	LOC106613169
A0A1S3N0X2	LOC106576427
C0HAQ6	EF2
A0A1S3LAU1	LOC106565453
A0A1S3RAG3	ccdc47
B5X3C0	GSHR
A0A1S3RJI5	LOC106603362
A0A060WJD6	LSM5
A0A060YEH7	GSONMT00030199001
A0A060X952	LOC110527799
C1BIF7	SPCS1
A0A060W5L6	GSONMT00080690001
A0A1S3PA96	LOC106584151
A0A060WLM4	GSONMT00074414001
A0A060WVC2	GSONMT00025944001
B5XAU6	HAOX2
A0A060YHY9	GSONMT00030456001
B9ENR4	COX5A
A0A1S3R697	LOC106600434
A0A060WF38	GSONMT00073804001
A0A060VV79	GSONMT00066505001
A0A060XET3	GSONMT00009304001
A0A1S3P029	LOC106582353
A0A1S3LKA5	LOC106567067
A0A060YMN0	GSONMT00035844001
A0A060WYE0	GSONMT00003047001
A0A060XED8	GSONMT00001953001
A0A060WZT2	GSONMT00001308001
A0A060WF25	LOC110528093
A0A060XUC0	GSONMT00052524001
B5DGW4	RL7
A0A060WYW7	GSONMT00063585001
A0A060YC67	GSONMT00057275001
A0A060W6N9	GSONMT00082713001
A0A060X349	LOC110507178
A0A060WMP1	GSONMT00043170001
A0A060W1W2	GSONMT00064513001
A0A060WVH8	GSONMT00037212001
A0A060XUH2	GSONMT00017252001
A0A060WU45	GSONMT00027297001
A0A1S3RKC3	LOC106603301
A0A1S3L9R8	LOC106565226
A0A060XMK2	GSONMT00027395001
A0A1S3LQ49	LOC106567840
A0A1S3L0V4	ganab
B9ELS6	CBX3
A0A1S3LNV0	LOC106567568
A0A060XWA4	GSONMT00022779001
C1BF91	CX6B1
A0A1S3SXD5	lxn
C1BGE4	RT18A
A0A1S3RGH0	LOC106602690
A0A1S3LVB2	LOC106568725
A0A060Y4C8	GSONMT00016568001
A0A1S3QTT0	LOC106596292
A0A060WJ19	GSONMT00048586001
C1BFF2	NDUS6
A0A1S3SLZ1	LOC106610505
C1BFR1	RS27
A0A060YT42	GSONMT00023367001
A0A060X8J6	GSONMT00004857001
B5XAK8	PECR
A0A1S3N5V4	LOC106577388
C1BGF9	RS14
A0A060VNQ3	GSONMT00079827001
A0A060XSE1	GSONMT00018656001
A0A1S3KPX5	LOC106561387
B5X6D9	RALBB
A0A1S3RCQ1	LOC106601715
A0A060XWS0	GSONMT00007920001
A0A061A756	GSONMT00057910001
B5XA06	PFD3
A0A060X008	GSONMT00020650001
A0A060X0E0	ERLIN2
C0H9N7	PP2AA
A0A1S3SWI5	LOC106612240
A0A060YW00	GSONMT00035643001
A0A060WG87	GSONMT00075017001
A0A1S3PF84	LOC106585041
C0HAA7	NAGAB
B5DGR3	G3P
A0A060XDB2	GSONMT00036874001
A0A1S3STS7	LOC106611741
A0A1S3KME1	LOC106560949
A0A060Y612	GSONMT00029291001
A0A060XYA0	GSONMT00034871001
A0A060YRS1	GSONMT00054911001
A0A060X3C1	GSONMT00030405001
A0A1S3MJE2	LOC106573061
A0A1S3N3K1	wdr11
A0A060WAT8	GSONMT00071206001
A0A1S3T6D1	soat1
B5X2C7	PLBL1
A0A060X1L5	LOC110529446
A0A1S3P4U4	LOC106583199
A0A1S3SQY9	LOC106611263
A0A060X656	GSONMT00033395001
A0A060Y969	GSONMT00012443001
C0H7U8	TPPC3
A0A1S3LFA2	cssa12h12orf10
A0A060VQ55	thoc1
A0A1S3PE71	man2c1
A0A060XJV8	LOC110523631
A0A060YGG5	GSONMT00033890001
A0A1S3QY31	LOC106597731
A0A1S3RS96	LOC106604734
A0A060XFI8	GSONMT00056234001
A0A060X0A4	GSONMT00045304001
A0A060WNV4	GSONMT00075022001
A0A060WQ36	LOC110532496
A0A1S3PZY3	LOC106588611
D0UGC7	Sasa-UGA
A0A060WGP6	GSONMT00071207001
B5X311	EF1G
A0A1S3NAY5	tpk1
A0A060Y3D7	GSONMT00052308001
A0A1S3Q3L8	LOC106589298
A0A060YQS6	GSONMT00023739001
A0A060YQ27	GSONMT00053422001
A0A060XWX8	IMPDH
A0A060X1N2	GSONMT00059083001
A0A060WAI2	LOC110523917
A0A060XT03	GSONMT00020375001
B5XDE3	RM15
A0A1S3LEW5	LOC106566160
B5XDD4	PSA7
A0A060VUP2	GSONMT00070927001
B5XDE4	1433B
A0A1S3M4R9	LOC106570304
A0A1S3QHQ9	LOC106592741
A0A1S3NHW3	LOC106579407
A0A1S3RU12	LOC106605058
A0A1S3NS29	LOC106580844
A0A060Y2S9	paox
A0A1S3RS33	eif3a
A0A1S3N5Z7	LOC106577306
A0A060VX36	GSONMT00072811001
A0A060X6L5	PSME3
A0A060YJ66	GSONMT00049715001
B5X8D5	MACD1
B5DGE3	prmt1
Q7ZZK9	gdh3.1
A0A060VP39	GSONMT00064316001
A0A1S3MJF7	LOC106573069
A0A1S3NL47	LOC106580061
A0A060W5R9	LOC110526391
B5DGF7	psmd6
A0A060YWV7	GSONMT00022242001
A0A060YAM2	GSONMT00010227001
A0A060XUJ0	LOC110535403
A0A060WA35	GSONMT00070189001
A0A1S3PKS1	LOC106586002
A0A060W6S3	GSONMT00082772001
A0A060XGD4	GSONMT00041519001
A0A1S3LFP9	acad9
A0A060YPC2	GSONMT00062454001
B5XBS3	RS26
B5DG84	sdr39u1
A0A1S3PEL9	ykt6
B5X4U0	TBCD
A0A1S3NV64	LOC106581545
A0A1S3L2H1	LOC106563790
A0A1S3M941	LOC106571313
A0A060X7D3	LOC110499414
A0A060WR05	LOC110532057
A0A060XRR2	msh6
A0A060YEN9	GSONMT00034695001
A0A060X6D7	GSONMT00014032001
A0A1S3S780	arhgap18
A0A1S3Q6E0	LOC106589751
A0A1S3RDN3	LOC106601957
A0A060VZY4	GSONMT00081748001
A0A060VSZ6	GSONMT00076571001
A0A1S3NA46	cct7
A0A1S3NAY0	LOC106578162
A0A060WLW6	GSONMT00030974001
B5X423	GLYM
B9EMQ5	PGDH
A0A1S3PJF1	LOC106585738
A0A060WPH6	gdpd1
A0A060WDZ2	GSONMT00073455001
A0A060VUI9	ppib
A0A1S3NE35	LOC106578952
A0A060WEF2	GSONMT00068094001
A0A1S3LZP8	LOC106569441
A0A060X9P7	LOC110493972
A0A1S3RTW0	LOC106605016
A0A060WDB8	GSONMT00072916001
A0A1S3PTD2	LOC106587249
B9EP79	PSME3
A0A060ZNU6	GSONMT00039762001
A0A060WWJ6	GSONMT00039607001
A0A1S3QJF7	LOC106593329
A0A1S3PIM4	LOC106585622
A0A060WM38	LOC110495301
A0A1S3PHT9	LOC106585490
B9EM78	RPAB3
A0A1S3SY40	LOC106612544
A0A1S3MWX6	LOC106575314
A0A060VY35	GSONMT00075708001
A0A1S3L1Y3	LOC106563475
A0A060Z3T6	GSONMT00018364001
A0A1S3LR97	LOC106568012
A0A060WFI7	GSONMT00073816001
A0A060XNS2	GSONMT00039693001
B5X619	PSA6
A0A1S3SZ07	LOC106612687
A0A060W477	LOC110525933
A0A1S3MXD1	ipo5
A0A1S3RQI1	cutc
A0A060VQY7	GSONMT00071530001
B5X677	RDH3
A0A1S3P7E1	LOC106583642
A0A060WM25	LOC110533595
A0A060X8Z6	GSONMT00042520001
A0A060X8B1	LOC110496293
A0A060XNC6	LOC110519069
A0A1S3SMT0	LOC106610693
B5DFW8	pmm2
A0A1S3NZC5	LOC106582262
A0A060XVN0	GSONMT00007801001
A0A060X2C0	GSONMT00052850001
A0A1S3NR09	LOC106580784
A0A1S3M7Q5	LOC106571078
A0A060YJY2	GSONMT00038104001
A0A060Y9Y1	LOC110486269
A0A060WDJ8	GSONMT00072557001
A0A060YN45	GSONMT00047702001
A0A060XAB1	GSONMT00032804001
A0A1S3PB74	LOC106584276
A0A1S3LEH8	LOC106566065
A0A1S3NY41	LOC106582088
A0A1S3L974	LOC106565191
A0A060XXD7	GSONMT00059111001
A0A060W4C9	GSONMT00066069001
A0A1S3LUF9	hsdl2
A0A1S3P0L0	LOC106582505
A0A1S3SEB9	LOC106608960
A0A060XWR9	GSONMT00058974001
A0A1S3S1J4	LOC106606402
B5X4Q7	VDAC1
A0A1S3SP02	clic5
A0A060VZP3	GSONMT00074576001
A0A1S3MPU1	LOC106574090
A0A1S3S7W2	pm20d2
A0A1S3M0B4	LOC106569535
A0A1S3T1N6	pipox
A0A060VWW1	leg1
A0A060YTU9	GSONMT00021129001
A0A060Z2B5	GSONMT00049280001
A0A1S3KXV7	LOC106562660
B5XDW9	QCR10
A0A060XUK2	LOC110534419
A0A060W1M6	LOC110509917
A0A060WS76	GSONMT00043858001
A0A060XVB1	LOC110499339
A0A1S3L601	LOC106564686
A0A1S3PX06	LOC106588099
A0A060WKZ0	GSONMT00045887001
A0A1S3S558	LOC106607221
A0A060W905	GSONMT00069303001
A0A1S3NIW7	LOC106579756
A0A1S3T4P0	LOC106613627
A0A060Z4Z5	GSONMT00027535001
A0A060WHC5	mogat2
C1BGF0	ACBP
C1BG93	SRP09
A0A1S3QS52	LOC106595368
C0HA06	CSTF3
A0A060YLW4	GSONMT00038014001
A0A060XML7	GSONMT00028098001
A0A060VZI9	LOC110537508
A0A060XYS0	GSONMT00024235001
B5X4G2	SGTA
A0A1S3NS25	LOC106581046
A0A060VRT1	GSONMT00073273001
A0A060WQW5	GSONMT00060039001
B5X1H6	NEUA
A0A060YKE9	LOC110536990
A0A060XZ33	LOC110507878
A0A060WTM1	GSONMT00021189001
B5X4J0	ILEU
Q64HX9	CathY
A0A060WX70	GSONMT00063102001
B5XGE2	DHR12
A0A1S3MYX7	LOC106576069
A0A060YM85	GSONMT00040835001
A0A060YA06	GSONMT00041241001
A0A060XVZ4	GSONMT00030247001
A0A1S3T386	LOC106613397
A0A060X0C7	GSONMT00059082001
B5XFE9	TBA1A
A0A060WZS5	LOC110493186
A0A060XPW8	GSONMT00032239001
A0A1S3KTP9	LOC106562063
C1BGA1	NPC2
A0A1S3RRS5	LOC106604384
B5X7V8	CSN7A
A0A060Y5N0	GSONMT00054713001
A0A1S3MF49	LOC106572271
A0A1S3KL34	tsg101
B5X2M8	TCPB
A0A060YZH5	GSONMT00054468001
A0A1S3M1I4	LOC106569863
A0A060XXG0	GSONMT00007930001
A0A060VNV7	LOC110535578
A0A1S3RT04	diaph1
A0A060VMH9	GSONMT00070860001
A0A060WYR1	GSONMT00034551001
A0A060YDC5	GSONMT00038916001
A0A060WKF1	GSONMT00028424001
A0A060YSV3	GSONMT00035157001
C0HB07	RCD1
A0A1S3PDB5	LOC106584635
A0A060Y4I4	GSONMT00015050001
P21848	alb1
A0A1S3RJ34	LOC106603118
A0A060WXR4	GSONMT00058644001
A0A1S3LB33	LOC106565436
A0A060XZB8	GSONMT00020966001
A0A1S3MX27	LOC106575668
A0A1S3LP22	LOC100380745
A0A060XV98	GSONMT00058226001
C1BI52	NDUA2
A0A1S3S9W3	acp1
A0A060WZT6	GSONMT00001314001
A0A060Z2X7	GSONMT00003407001
C1BFE0	BLVRB
A0A060VQU3	GSONMT00071015001
B5X7A0	LSM8
B5X2B6	SEGN
A0A060Y4K3	GSONMT00039271001
B9EM79	TOM7
A0A060YFT9	GSONMT00044101001
A0A060Y9E7	GSONMT00026808001
A0A060WV20	GSONMT00040299001
A0A1S3QMR4	LOC106594418
A0A060XC02	LOC110490101
A0A060WH28	GSONMT00075048001
A0A060X1V0	GSONMT00006368001
M4UZU2	atp5l
A0A1S3PIL4	dbnl
A0A060YNV9	GSONMT00041923001
A0A1S3T0C2	kpna4
A0A1S3MU37	mtx2
A0A060VWC0	GSONMT00079528001
B5DGJ3	rpl38
A0A060YI84	GSONMT00035949001
A0A060WUN3	GSONMT00031647001
A0A060VPM1	GSONMT00065667001
A0A1S3PIV7	crat
A0A060XB40	GSONMT00024850001
A0A060WJP0	GSONMT00071883001
A0A1S3KL73	mfi2
A0A1S3RRL3	nbp1a
B5X5J7	AT233
C0HBK9	PRP31
A0A1S3MJL5	nup205
A0A1S3MB59	LOC106571574
A0A1S3KYV1	LOC106563153
A0A060XLI9	GSONMT00057933001
A0A060X2T2	GSONMT00055865001
A0A060YE60	GSONMT00063738001
A0A1S3QSD2	LOC106596174
A0A1S3P3R7	LOC106583035
A0A1S3QPC3	LOC106594398
A0A1S3LLW8	LOC106567266
A0A060WGC9	GSONMT00069462001
A0A060XKN1	GSONMT00048125001
A0A060VQL5	GSONMT00069637001
A0A060W208	GSONMT00064837001
A0A1S3KTK8	LOC106561989
A0A1S3KL83	cp
A0A1S3MK33	LOC106573200
A0A1S3NPS8	LOC106580635
A0A060YI27	LOC110496688
B5XDR4	MYL6
A0A1S3NTS6	LOC106581229
A0A060XDZ8	GSONMT00040512001
B5X889	HEM2
A0A060WMI4	GSONMT00037182001
A0A1S3QL88	rtcb
B5X9L4	PRDX4
A0A1S3LVT2	LOC106568867
A0A1S3LBQ1	thnsl2
Q6UFZ0	LOC100136201
C0HBK6	UBC12
A0A1S3R432	LOC106600082
A0A1S3LXQ6	LOC106569169
A0A060Y5R5	GSONMT00061003001
B5X8T1	COQ7
A0A1S3P1N6	LOC106582679
A0A1S3RSC5	LOC106604495
A0A060VUM1	LOC110526362
A0A060WXQ8	GSONMT00049391001
B5X205	AATC
B5XCK8	TEBP
A0A060VXK0	GSONMT00080185001
A0A060WR21	GSONMT00027240001
B5DGG1	psma4
A0A060WTE0	GSONMT00010696001
A0A060YQ21	GSONMT00025057001
A0A1S3PED2	LOC106584766
A0A060VP01	GSONMT00064248001
A0A1S3LJP9	LOC106566958
A0A1S3R423	LOC106599708
B5XGL4	M2OM
A0A060Y3B2	GSONMT00027343001
A0A060VPL2	GSONMT00065653001
A0A1S3LC11	LOC106565595
A0A1S3R6Y8	LOC106600892
A0A1S3NCL9	LOC106578663
A0A1S3MXW0	LOC106575545
A0A060Z378	GSONMT00043318001
A0A060YTR4	GSONMT00038427001
A0A060YAV7	pepd
A0A060VWP6	GSONMT00079525001
A0A060WZA1	crym
A0A060XB24	GSONMT00011147001
A0A060Z7S3	GSONMT00012629001
A0A1S3PYI5	LOC106588334
A0A060Y172	GSONMT00050724001
A0A060VSC7	LOC110503939
B5DGC3	rpl3l
B9EL60	DRG1
A0A060XPV7	GSONMT00053816001
B5X3J9	ECHP
A0A1S3LU96	sigmar1
A0A060WT78	GSONMT00034395001
A0A060WT15	GSONMT00006055001
A0A060XK08	GSONMT00040636001
A0A1S3SV14	LOC106611977
A0A060X1B5	PSMA6
A0A060Y4B9	GSONMT00040536001
A0A1S3QC95	LOC106590485
A0A060WVQ0	LOC110488635
A0A060Z8P7	LOC110486924
A0A060X4R8	GSONMT00002702001
A0A060XSZ2	GSONMT00053315001
A0A060XSN3	GSONMT00026108001
A0A1S3PTM8	acp2
B5X374	XPP1
B5X3R3	CAPZB
A0A060XCQ5	naa15
C0H7F7	ATP5L
B5XB02	CTRB
A0A1S3NJ16	ccdc58
A0A060WXJ1	GSONMT00028272001
A0A060X6H2	GSONMT00051525001
A0A1S3QZ97	LOC106598932
A0A060W772	LOC110497718
A0A060WPB1	GSONMT00058362001
A0A1S3S2A3	LOC106606690
B5XD78	TXND9
B5X3M7	AMPL
A0A060YDI0	GSONMT00027584001
A0A060X7Q5	GSONMT00000878001
A0A1S3MLE6	LOC106573423
A0A060YIZ8	GSONMT00058526001
A0A1S3P7Q4	ncoa5
A0A060YZM5	GSONMT00024247001
B5X0R6	YQ007
A0A1S3PPJ5	LOC106586637
A0A060XQC4	RAB7A
A0A060WFK7	GSONMT00070329001
A0A060VZM9	GSONMT00074546001
A0A1S3KMA7	adpgk
A0A1S3RHF5	acadvl
A0A1S3KL69	faxdc2
A0A060YNE4	GSONMT00049684001
A0A060X4P1	GSONMT00056213001
A0A060ZGV2	GSONMT00058438001
A0A1S3SL77	LOC106610326
A0A060XMR5	LOC110499981
A0A060XSM7	GSONMT00030696001
A0A060WL80	GSONMT00073069001
C0HA19	VIGLN
A0A1S3SZY7	LOC106612861
A0A1S3RHD9	LOC106602865
C1BH51	LSM7
A0A060X9G7	LOC110537656
A0A060X1M7	GSONMT00050402001
A0A060YNF3	GSONMT00035887001
B5X8K9	CBPA2
A0A060WV10	GSONMT00038745001
A0A060Z7J8	GSONMT00022255001
B5X3E2	ARF1
B5X1P3	ACY1
A0A1S3QZV4	LOC106599100
A0A1S3LTX6	LOC106568505
B5XF46	NDUAD
A0A060Y028	tcp1
A0A1S3SJL2	LOC106609973
A0A060Z238	GSONMT00036985001
A0A060WPT0	aldh6a1
A0A1S3N4E7	acoxl
A0A060VY39	GSONMT00080439001
A0A060XEH1	GSONMT00031338001
A0A1S3MYY0	LOC106576009
A0A060WSJ8	GSONMT00034316001
A0A1S3PQ66	LOC106586757
A0A060YIT7	rbp2a
A0A060XST3	GSONMT00025082001
A0A1S3KN82	LOC106561079
A0A060YRV1	psmd8
A0A1S3MII8	LOC106572755
A0A060W458	GSONMT00066389001
B5X5E7	CRIP1
A0A1S3M6H6	LOC106570629
A0A1S3M6Q7	rnmt
A0A060X627	ALDH6A1
A0A1S3KTX7	LOC106562047
B5X1L1	MCAT
A0A1S3LC00	LOC106565663
A0A060WPZ4	GSONMT00076978001
B5XD40	RS13
B5XAC1	TCTP
A0A060X1Z3	GSONMT00040244001
A0A060W0G9	GSONMT00077098001
A0A060YJI6	GSONMT00032169001
A0A1S3RFC1	LOC106602719
A0A060W3L6	GSONMT00066048001
B5DGX3	RS15A
A0A1S3S830	LOC100380754
A0A060XYZ3	GSONMT00003255001
A0A060WLF9	lgals9
A0A1S3PB01	LOC106584281
A0A060YPE4	GSONMT00041219001
C0H993	CRK
A0A1S3N344	habp2
A0A060YMQ1	GSONMT00057664001
B5X4J7	TBCB
A0A060XQJ4	GSONMT00048868001
A0A060X3M7	GSONMT00011157001
A0A1S3MB27	prpf39
A0A1S3PWW7	pdpr
A0A1S3REI4	LOC106602559
A0A1S3QZ17	LOC106598862
A0A1S3LG01	prosc
A0A060XS59	GSONMT00006931001
A0A1S3LNF3	LOC106567535
Q64HX8	CD63
A0A060WGK9	GSONMT00074982001
A0A1S3PLI6	LOC100380648
A0A060WF45	GSONMT00068622001
A0A1S3Q0E7	abcf1
Q1M159	LOC100136258
A0A1S3L4J4	LOC106564358
A0A1S3MFP5	LOC106572358
A0A060WU23	LOC110535485
A0A1S3MP55	LOC106573931
B5XCB0	ATP5E
A0A1S3R4I3	LOC100380629
A0A060W069	LOC110520537
A0A1S3SVN9	LOC106612088
A0A060XI48	LOC110528267
A0A060VN21	LOC110530069
B5DG02	rpl9
B5DG28	apex1
A0A060VQH6	LOC110490158
A0A060XQF5	LOC110501315
A0A1S3QQ92	LOC106595384
A0A1S3PAL7	LOC100136418
B5XCI6	PPIL4
B5XDS9	CSK21
B5X6H9	RUXE
C0HAY1	VPS36
A0A1S3L5M3	LOC106564302
A0A060Y0A6	GSONMT00032093001
A0A060VMV0	GSONMT00077767001
A0A1S3PW10	LOC106587490
A0A060X9Q5	GSONMT00041426001
B5DGU8	LOC106592786
A0A1S3R5P7	LOC106600386
A0A060W7K2	GSONMT00068220001
A0A1S3RKW3	LOC106603379
A0A060Y685	GSONMT00048730001
A0A060XZG9	GSONMT00015275001
A0A1S3PUZ7	LOC106587545
B5X5L1	USMG5
A0A060YYW7	GSONMT00039735001
A0A1S3LTQ7	LOC106568440
A0A060YVD5	GSONMT00003915001
A0A060W4B3	GSONMT00066170001
A0A1S3LKI5	dnajc22
A0A060X1H8	GSONMT00033172001
A0A060YQJ9	GSONMT00042149001
A0A1S3QSY6	LOC106596317
A0A060YMI7	GSONMT00038807001
A0A1S3QAV1	ipo4
A0A1S3Q2J9	LOC106589044
A0A060WVV4	GSONMT00057075001
A0A1S3S8D6	LOC106607779
A0A1S3Q6I5	LOC106589781
A0A060YAB1	LOC110496332
A0A1S3PEW6	LOC106585017
A0A1S3SPD7	dhrs7
A0A060WIE9	GSONMT00072460001
A0A060WW00	GSONMT00019386001
A0A1S3Q3M8	LOC106589294
B5X6I8	FA82B
A0A1S3SM16	LOC106610528
A0A1S3P7F6	LOC106583638
A0A060Y5W3	GSONMT00043548001
A0A060X8J1	GSONMT00033208001
A0A1S3KJR3	LOC106560439
A0A060XLW8	LOC110520344
A0A1S3P8X1	LOC106583903
A0A060XNG6	GSONMT00059643001
A0A060VN95	dis3l2
A0A060Z0V3	GSONMT00015252001
A0A060WFG6	LOC110495736
A0A1S3Q6W0	LOC106589808
A0A060XR82	nhp2
A0A1S3PHQ7	LOC106585457
A0A060XVU7	GSONMT00028802001
A0A060YXE1	GSONMT00055378001
A0A1S3M7W1	LOC106570981
A0A1S3NUB5	LOC106581456
A0A060Y771	GSONMT00059365001
A0A1S3LHU2	LOC106566671
A0A1S3T4G1	LOC106613594
A0A060WV03	GSONMT00037625001
A0A1S3RX62	LOC106605401
A0A1S3QSV0	LOC106595628
A0A1S3Q719	LOC106589883
W5S0E4	LOC110521740
B5DGQ7	ENO3
A0A1S3ME32	arfgef2
A0A060VWQ2	GSONMT00079539001
A0A1S3N8B1	LOC106577619
A0A1S3LQ77	LOC106567775
A0A1S3NCU9	LOC106578535
A0A060ZF19	GSONMT00001235001
A0A060WXL4	LOC110532064
B5DGX5	RS23
B5X4S5	SYDC
A0A1S3QKS1	LOC106593544
A0A060YSM9	GSONMT00030937001
A0A1S3SMD2	ero1a
A0A1S3P673	LOC106583428
A0A1S3L330	LOC106563910
A0A1S3SAD4	LOC106608114
A0A1S3M9Q2	LOC106571328
A0A1S3NAY1	LOC106578367
A0A060Y555	GSONMT00061002001
A0A060XUL0	GSONMT00012828001
B5X361	COPG2
A0A1S3RN55	LOC106603975
A0A1S3SI71	LOC106609610
B5XCP1	T120A
A0A060WXA4	GSONMT00029688001
A0A060Y7C6	RPS3A
A0A1S3KJZ4	LOC106560578
A0A1S3SEL5	LOC106608993
A0A060W893	GSONMT00082396001
W0TYL2	iceberg
A0A1S3QSM2	LOC106595857
A0A060WL51	GCA
A0A060WVT1	tsn
